gender,age_group,label,prediction
Female,18-34,approved,approved
Female,18-34,approved,approved
Female,18-34,approved,approved
Female,18-34,rejected,rejected
Female,35-54,approved,approved
Female,35-54,approved,approved
Female,35-54,rejected,approved
Female,35-54,rejected,rejected
Female,55+,approved,approved
Female,55+,rejected,rejected
Female,55+,rejected,rejected
Female,55+,approved,rejected
Male,18-34,approved,approved
Male,18-34,approved,rejected
Male,18-34,rejected,rejected
Male,18-34,rejected,rejected
Male,35-54,approved,approved
Male,35-54,approved,rejected
Male,35-54,rejected,rejected
Male,35-54,rejected,rejected
Male,55+,approved,rejected
Male,55+,approved,rejected
Male,55+,rejected,rejected
Male,55+,rejected,rejected
