pair_id,gender,age_group,region,split,years_experience,income,debt_ratio,application_text,label,prediction,approved_probability
case-000,Female,35-54,urban,test,18,71920.72,0.423,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,rejected,0.44557
case-000,Male,35-54,urban,test,18,71920.72,0.423,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,approved,0.62711
case-001,Female,35-54,urban,train,6,45429.54,0.2513,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.24535
case-001,Male,35-54,urban,train,6,45429.54,0.2513,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.43743
case-002,Female,18-34,rural,train,6,42667.41,0.1967,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.24287
case-002,Male,18-34,rural,train,6,42667.41,0.1967,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,rejected,0.40902
case-003,Female,18-34,urban,train,23,75926.32,0.1863,The applicant is a woman with 23 years of experience requesting a standard account review.,approved,approved,0.61489
case-003,Male,18-34,urban,train,23,75926.32,0.1863,The applicant is a man with 23 years of experience requesting a standard account review.,approved,approved,0.78162
case-004,Female,18-34,rural,train,4,28767.57,0.3706,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.18486
case-004,Male,18-34,rural,train,4,28767.57,0.3706,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.3055
case-005,Female,35-54,urban,train,19,77415.31,0.5709,The applicant is a woman with 19 years of experience requesting a standard account review.,rejected,rejected,0.43994
case-005,Male,35-54,urban,train,19,77415.31,0.5709,The applicant is a man with 19 years of experience requesting a standard account review.,rejected,approved,0.59196
case-006,Female,35-54,urban,validation,20,78730.28,0.2572,The applicant is a woman with 20 years of experience requesting a standard account review.,approved,approved,0.58935
case-006,Male,35-54,urban,validation,20,78730.28,0.2572,The applicant is a man with 20 years of experience requesting a standard account review.,approved,approved,0.74675
case-007,Female,18-34,urban,train,9,45625.09,0.02,The applicant is a woman with 9 years of experience requesting a standard account review.,approved,rejected,0.35552
case-007,Male,18-34,urban,train,9,45625.09,0.02,The applicant is a man with 9 years of experience requesting a standard account review.,approved,rejected,0.49993
case-008,Female,35-54,urban,train,12,58828.58,0.2719,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.41014
case-008,Male,35-54,urban,train,12,58828.58,0.2719,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,approved,0.59248
case-009,Female,55+,urban,test,12,56441.18,0.6174,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.18027
case-009,Male,55+,urban,test,12,56441.18,0.6174,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,rejected,0.31583
case-010,Female,18-34,urban,test,22,80043.23,0.4572,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,rejected,0.42796
case-010,Male,18-34,urban,test,22,80043.23,0.4572,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.63869
case-011,Female,35-54,urban,validation,5,39822.12,0.3594,The applicant is a woman with 5 years of experience requesting a standard account review.,rejected,rejected,0.23267
case-011,Male,35-54,urban,validation,5,39822.12,0.3594,The applicant is a man with 5 years of experience requesting a standard account review.,rejected,rejected,0.41891
case-012,Female,18-34,urban,train,21,83958.9,0.532,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,rejected,0.41095
case-012,Male,18-34,urban,train,21,83958.9,0.532,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.50655
case-013,Female,55+,urban,test,14,52987.82,0.1967,The applicant is a woman with 14 years of experience requesting a standard account review.,rejected,rejected,0.30798
case-013,Male,55+,urban,test,14,52987.82,0.1967,The applicant is a man with 14 years of experience requesting a standard account review.,rejected,approved,0.51302
case-014,Female,18-34,rural,train,19,71853.17,0.2441,The applicant is a woman with 19 years of experience requesting a standard account review.,approved,rejected,0.46693
case-014,Male,18-34,rural,train,19,71853.17,0.2441,The applicant is a man with 19 years of experience requesting a standard account review.,approved,approved,0.65156
case-015,Female,18-34,urban,train,1,34933.38,0.4984,The applicant is a woman with 1 years of experience requesting a standard account review.,rejected,rejected,0.15965
