heart_rate,yawning,looks_straigh,eyes_closed,gender,age,ethnicity,race
53,1,0,0,Female,19,Non-Hispanic,Native American
67,0,0,1,Female,19,Non-Hispanic,Native American
54,0,0,0,Female,19,Non-Hispanic,Native American
79,0,0,1,Female,19,Non-Hispanic,Native American
78,1,1,0,Female,19,Non-Hispanic,Native American
147,0,1,1,Female,19,Non-Hispanic,Native American
85,0,0,1,Female,19,Non-Hispanic,Native American
63,0,1,0,Female,19,Non-Hispanic,Native American
95,1,1,0,Female,19,Non-Hispanic,Native American
143,1,0,1,Female,19,Non-Hispanic,Native American
