customer_id,age,income,product_category,region,is_premium,purchase_amount,satisfaction_score,years_experience,education_level,performance_rating,department,is_manager,last_login_days,credit_score,has_loan,loan_amount,risk_level
1,28,45000,Electronics,North,False,89.50,4.2,3,Bachelor,Good,IT,False,2,720,True,15000,Medium
2,35,67000,Clothing,South,True,156.80,4.8,8,Master,Excellent,Finance,True,1,780,False,0,Low
3,42,52000,Books,East,False,23.45,3.1,12,High School,Average,Marketing,False,15,650,True,25000,High
4,29,38000,Electronics,West,False,234.90,4.5,2,Bachelor,Good,IT,False,5,680,True,12000,Medium
5,51,89000,Home,North,True,456.70,4.9,20,PhD,Excellent,Sales,True,0,820,False,0,Low
6,33,55000,Clothing,South,False,78.30,3.8,6,Bachelor,Good,HR,False,8,700,True,18000,Medium
7,26,32000,Sports,East,False,45.60,3.5,1,High School,Average,IT,False,12,620,True,30000,High
8,38,72000,Electronics,West,True,567.40,4.7,10,Master,Excellent,Finance,True,1,790,False,0,Low
9,44,48000,Books,North,False,34.20,3.9,15,High School,Good,Marketing,False,7,660,True,22000,Medium
10,31,61000,Home,South,True,289.10,4.6,5,Bachelor,Excellent,Sales,False,3,750,False,0,Low
11,47,53000,Clothing,East,False,123.80,4.1,18,Master,Good,HR,True,4,710,True,16000,Medium
12,24,28000,Sports,West,False,67.90,3.2,0,High School,Average,IT,False,20,580,True,35000,High
13,39,75000,Electronics,North,True,678.50,4.8,11,PhD,Excellent,Finance,True,0,800,False,0,Low
14,36,49000,Books,South,False,56.40,3.7,7,Bachelor,Good,Marketing,False,9,690,True,19000,Medium
15,52,95000,Home,East,True,789.20,4.9,25,PhD,Excellent,Sales,True,1,850,False,0,Low
16,27,35000,Clothing,West,False,98.70,3.6,2,High School,Average,HR,False,14,640,True,28000,High
17,41,68000,Electronics,North,True,345.60,4.4,9,Master,Good,IT,True,2,760,False,0,Low
18,33,44000,Sports,South,False,76.30,3.8,4,Bachelor,Good,Marketing,False,6,670,True,17000,Medium
19,29,39000,Books,East,False,45.80,3.4,3,High School,Average,HR,False,11,630,True,26000,High
20,46,82000,Home,West,True,567.90,4.7,16,Master,Excellent,Finance,True,1,810,False,0,Low
21,32,57000,Clothing,North,False,134.20,4.0,6,Bachelor,Good,Sales,False,5,720,True,14000,Medium
22,25,31000,Electronics,South,False,89.60,3.3,1,High School,Average,IT,False,18,600,True,32000,High
23,37,71000,Sports,East,True,234.50,4.5,8,Master,Excellent,Marketing,True,2,770,False,0,Low
24,43,56000,Books,West,False,67.80,3.9,13,High School,Good,HR,False,8,680,True,20000,Medium
25,30,48000,Home,North,False,178.40,4.2,4,Bachelor,Good,Finance,False,7,700,True,15000,Medium
26,48,88000,Clothing,South,True,456.70,4.8,19,PhD,Excellent,Sales,True,0,830,False,0,Low
27,26,33000,Electronics,East,False,123.90,3.5,2,High School,Average,IT,False,16,610,True,29000,High
28,34,62000,Sports,West,True,198.30,4.3,7,Bachelor,Excellent,Marketing,True,3,740,False,0,Low
29,28,41000,Books,North,False,34.60,3.6,3,High School,Average,HR,False,13,650,True,24000,High
