heart_rate,yawning,looks_straigh,eyes_closed,alert,gender,age,ethnicity,race
53,1,0,0,0,Female,19,Non-Hispanic,Native American
67,0,0,1,0,Female,19,Non-Hispanic,Native American
54,0,0,0,0,Female,19,Non-Hispanic,Native American
79,0,0,1,0,Female,19,Non-Hispanic,Native American
78,1,1,0,0,Female,19,Non-Hispanic,Native American
147,0,1,1,0,Female,19,Non-Hispanic,Native American
85,0,0,1,0,Female,19,Non-Hispanic,Native American
63,0,1,0,0,Female,19,Non-Hispanic,Native American
95,1,1,0,0,Female,19,Non-Hispanic,Native American
143,1,0,1,0,Female,19,Non-Hispanic,Native American
81,0,1,0,1,Female,19,Non-Hispanic,Native American
141,0,1,0,1,Female,19,Non-Hispanic,Native American
108,0,1,0,1,Female,19,Non-Hispanic,Native American
151,0,1,0,1,Female,19,Non-Hispanic,Native American
150,0,1,0,1,Female,19,Non-Hispanic,Native American
117,0,1,0,1,Female,19,Non-Hispanic,Native American
144,0,1,0,1,Female,19,Non-Hispanic,Native American
95,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
76,0,1,0,1,Female,19,Non-Hispanic,Native American
159,0,0,1,0,Female,19,Non-Hispanic,Native American
85,1,1,0,0,Female,19,Non-Hispanic,Native American
97,1,0,1,0,Female,19,Non-Hispanic,Native American
139,0,0,0,0,Female,19,Non-Hispanic,Native American
70,1,1,1,0,Female,19,Non-Hispanic,Native American
79,0,1,1,0,Female,19,Non-Hispanic,Native American
84,0,0,1,0,Female,19,Non-Hispanic,Native American
77,1,1,1,0,Female,19,Non-Hispanic,Native American
68,1,0,0,0,Female,19,Non-Hispanic,Native American
145,1,1,1,0,Female,19,Non-Hispanic,Native American
117,0,1,0,1,Female,19,Non-Hispanic,Native American
99,0,1,0,1,Female,19,Non-Hispanic,Native American
88,0,1,0,1,Female,19,Non-Hispanic,Native American
136,0,1,0,1,Female,19,Non-Hispanic,Native American
134,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
77,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
151,0,1,0,1,Female,19,Non-Hispanic,Native American
70,1,0,1,0,Female,19,Non-Hispanic,Native American
98,1,1,0,0,Female,19,Non-Hispanic,Native American
137,0,1,1,0,Female,19,Non-Hispanic,Native American
64,1,1,0,0,Female,19,Non-Hispanic,Native American
69,1,0,0,0,Female,19,Non-Hispanic,Native American
126,1,1,0,0,Female,19,Non-Hispanic,Native American
64,1,1,0,0,Female,19,Non-Hispanic,Native American
57,0,0,0,0,Female,19,Non-Hispanic,Native American
143,1,0,0,0,Female,19,Non-Hispanic,Native American
66,1,0,1,0,Female,19,Non-Hispanic,Native American
138,0,1,0,1,Female,19,Non-Hispanic,Native American
148,0,1,0,1,Female,19,Non-Hispanic,Native American
125,0,1,0,1,Female,19,Non-Hispanic,Native American
98,0,1,0,1,Female,19,Non-Hispanic,Native American
140,0,1,0,1,Female,19,Non-Hispanic,Native American
159,0,1,0,1,Female,19,Non-Hispanic,Native American
96,0,1,0,1,Female,19,Non-Hispanic,Native American
110,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
156,0,1,0,1,Female,19,Non-Hispanic,Native American
133,1,1,1,0,Female,19,Non-Hispanic,Native American
65,0,0,0,0,Female,19,Non-Hispanic,Native American
93,0,0,0,0,Female,19,Non-Hispanic,Native American
50,0,0,0,0,Female,19,Non-Hispanic,Native American
58,0,1,0,0,Female,19,Non-Hispanic,Native American
115,0,1,1,0,Female,19,Non-Hispanic,Native American
150,1,1,0,0,Female,19,Non-Hispanic,Native American
62,0,1,1,0,Female,19,Non-Hispanic,Native American
104,1,1,0,0,Female,19,Non-Hispanic,Native American
136,0,0,1,0,Female,19,Non-Hispanic,Native American
114,0,1,0,1,Female,19,Non-Hispanic,Native American
84,0,1,0,1,Female,19,Non-Hispanic,Native American
102,0,1,0,1,Female,19,Non-Hispanic,Native American
95,0,1,0,1,Female,19,Non-Hispanic,Native American
95,0,1,0,1,Female,19,Non-Hispanic,Native American
139,0,1,0,1,Female,19,Non-Hispanic,Native American
128,0,1,0,1,Female,19,Non-Hispanic,Native American
88,0,1,0,1,Female,19,Non-Hispanic,Native American
125,0,1,0,1,Female,19,Non-Hispanic,Native American
94,0,1,0,1,Female,19,Non-Hispanic,Native American
85,1,0,0,0,Female,19,Non-Hispanic,Native American
106,0,0,0,0,Female,19,Non-Hispanic,Native American
61,0,0,1,0,Female,19,Non-Hispanic,Native American
112,1,0,1,0,Female,19,Non-Hispanic,Native American
57,0,1,0,0,Female,19,Non-Hispanic,Native American
99,1,1,1,0,Female,19,Non-Hispanic,Native American
104,1,0,0,0,Female,19,Non-Hispanic,Native American
87,0,0,0,0,Female,19,Non-Hispanic,Native American
145,1,0,0,0,Female,19,Non-Hispanic,Native American
124,1,0,0,0,Female,19,Non-Hispanic,Native American
136,0,1,0,1,Female,19,Non-Hispanic,Native American
81,0,1,0,1,Female,19,Non-Hispanic,Native American
94,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
147,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
157,0,1,0,1,Female,19,Non-Hispanic,Native American
101,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
86,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,0,0,0,Female,19,Non-Hispanic,Native American
103,1,1,0,0,Female,19,Non-Hispanic,Native American
135,1,0,1,0,Female,19,Non-Hispanic,Native American
100,0,1,1,0,Female,19,Non-Hispanic,Native American
90,0,0,1,0,Female,19,Non-Hispanic,Native American
129,0,0,0,0,Female,19,Non-Hispanic,Native American
114,1,0,1,0,Female,19,Non-Hispanic,Native American
58,0,1,1,0,Female,19,Non-Hispanic,Native American
70,1,1,0,0,Female,19,Non-Hispanic,Native American
135,1,0,0,0,Female,19,Non-Hispanic,Native American
104,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,1,0,1,Female,19,Non-Hispanic,Native American
84,0,1,0,1,Female,19,Non-Hispanic,Native American
141,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
105,0,1,0,1,Female,19,Non-Hispanic,Native American
107,0,1,0,1,Female,19,Non-Hispanic,Native American
148,0,1,0,1,Female,19,Non-Hispanic,Native American
97,0,1,0,1,Female,19,Non-Hispanic,Native American
114,0,1,0,1,Female,19,Non-Hispanic,Native American
76,1,1,1,0,Female,19,Non-Hispanic,Native American
158,0,0,1,0,Female,19,Non-Hispanic,Native American
156,1,0,0,0,Female,19,Non-Hispanic,Native American
144,1,1,0,0,Female,19,Non-Hispanic,Native American
64,0,0,0,0,Female,19,Non-Hispanic,Native American
156,1,0,1,0,Female,19,Non-Hispanic,Native American
66,0,1,1,0,Female,19,Non-Hispanic,Native American
137,0,0,1,0,Female,19,Non-Hispanic,Native American
149,1,0,0,0,Female,19,Non-Hispanic,Native American
160,0,0,1,0,Female,19,Non-Hispanic,Native American
74,0,1,0,1,Female,19,Non-Hispanic,Native American
93,0,1,0,1,Female,19,Non-Hispanic,Native American
113,0,1,0,1,Female,19,Non-Hispanic,Native American
123,0,1,0,1,Female,19,Non-Hispanic,Native American
156,0,1,0,1,Female,19,Non-Hispanic,Native American
102,0,1,0,1,Female,19,Non-Hispanic,Native American
105,0,1,0,1,Female,19,Non-Hispanic,Native American
91,0,1,0,1,Female,19,Non-Hispanic,Native American
160,0,1,0,1,Female,19,Non-Hispanic,Native American
84,0,1,0,1,Female,19,Non-Hispanic,Native American
75,1,1,1,0,Female,19,Non-Hispanic,Native American
155,0,0,0,0,Female,19,Non-Hispanic,Native American
134,0,1,1,0,Female,19,Non-Hispanic,Native American
85,0,1,1,0,Female,19,Non-Hispanic,Native American
132,1,1,0,0,Female,19,Non-Hispanic,Native American
64,1,0,1,0,Female,19,Non-Hispanic,Native American
54,0,1,1,0,Female,19,Non-Hispanic,Native American
143,1,1,0,0,Female,19,Non-Hispanic,Native American
140,1,0,0,0,Female,19,Non-Hispanic,Native American
96,1,0,1,0,Female,19,Non-Hispanic,Native American
150,0,1,0,1,Female,19,Non-Hispanic,Native American
111,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
86,0,1,0,1,Female,19,Non-Hispanic,Native American
